"approved_date","region","condition_name","brand_name","model_name","mfdate","mileage","mileage_v2","fuel_type","gearbox","price"
"2019-01-02",13,"new","Hyundai","Grand i10","2018","1","0","Petrol","Manual",330000000
"2019-01-02",2,"used","Ford","Everest","2007","19","90000","Diesel","Manual",330000000
"2019-01-02",13,"used","Isuzu","Dmax","2007","21","105000","Diesel","Manual",245000000
"2019-01-02",7,"used","Toyota","Vios","2009","21","101000","Petrol","Manual",240000000
"2019-01-02",1,"used","Daewoo","Lanos","2003","31","225000","Petrol","Manual",79000000
"2019-01-02",13,"new","Mercedes Benz","E Class","2018","1","0","Petrol","Auto",421000000
"2019-01-02",13,"used","Audi","Q5","2009","16","75000","Petrol","Auto",835000000
"2019-01-02",13,"used","Honda","City","2015","8","35000","Petrol","Auto",490000000
"2019-01-02",13,"new","Mazda","CX 5","2018","1","0","Petrol","Auto",899000000
"2019-01-02",7,"used","Chevrolet","Captiva","2007","19","94000","Petrol","Manual",276000000
"2019-01-02",12,"used","Kia","CD5","2004","3","10000","Petrol","Manual",75000000
"2019-01-02",9,"used","Isuzu","Mu X","2017","1","9","Diesel","Manual",730000000
"2019-01-02",12,"used","LandRover","Range Rover Evoque","2012","13","60000","Petrol","Auto",1470000000
"2019-01-02",5,"new","Chevrolet","Colorado","2019","1","0","Diesel","Both",624000000
"2019-01-02",5,"new","Chevrolet","Trailblazer","2019","1","0","Diesel","Manual",855000000
"2019-01-02",13,"used","Ford","Everest","2013","22","113000","Diesel","Manual",543000000
"2019-01-02",12,"used","Ford","Ranger","2016","2","6000","Diesel","Auto",778000000
"2019-01-02",12,"used","Toyota","Vios","2010","10","47000","Petrol","Manual",256000000
"2019-01-02",1,"used","Hyundai","County","2013","23","120000",,"Manual",670000000
"2019-01-02",1,"used","Hyundai","Galloper","2003","3","14000","Diesel","Auto",138000000
"2019-01-02",8,"used","Ford","Everest","2009","26","150000","Diesel","Manual",455000000
"2019-01-02",8,"used","Toyota","Fortuner","2010","21","100000","Diesel","Manual",632000000
"2019-01-02",2,"used","Honda","Accord","2016","1","38","Petrol","Auto",1020000000
"2019-01-02",2,"used","Audi","A8","2009","1","55","Petrol","Auto",1500000000
"2019-01-02",10,"used","Suzuki","APV","2007","5","23000","Petrol","Manual",170000000
"2019-01-02",10,"used","Ford","Focus","2006","23","120000","Petrol","Manual",170000000
"2019-01-02",2,"new","Toyota","Fortuner","2019","1","0","Diesel","Manual",330000000
"2019-01-02",13,"used","Ford","Ranger","2016","15","70000","Diesel","Auto",558000000
"2019-01-02",13,"used","Kia","Sorento","2017","7","33000","Petrol","Auto",713000000
"2019-01-02",5,"used","Hyundai","Grand i10","2014","1","190","Petrol","Manual",250000000
"2019-01-02",4,"used","Hyundai","Grand i10","2017","1","1000","Petrol","Auto",12345000
"2019-01-02",13,"used","Toyota","Innova","2017","12","58000","Petrol","Manual",693000000
"2019-01-02",13,"used","Honda","Civic","2007","19","93000","Petrol","Auto",318000000
"2019-01-02",13,"used","Ford","Everest","2010","16","76000","Diesel","Manual",475000000
"2019-01-02",13,"new","Mercedes Benz","GLC","2019","1","0","Petrol","Auto",1939000000
"2019-01-02",13,"new","Mercedes Benz","S Class","2018","1","0","Petrol","Auto",4199000000
"2019-01-02",13,"used","Chevrolet","Spark","2015","1","47","Petrol","Auto",270000000
"2019-01-02",12,"new","Ford","Everest","2018","1","0","Diesel","Manual",969000000
"2019-01-02",12,"used","Hyundai","Santa Fe","2017","2","7000","Diesel","Auto",1130000000
"2019-01-02",3,"used","Toyota","Corolla","2000","33","300000","Petrol","Manual",126000000
"2019-01-02",9,"used","Chevrolet","Spark","2010","11","50000","Petrol","Manual",122000000
"2019-01-02",13,"new","Toyota","Fortuner","2019","1","0","Diesel","Manual",1026000000
"2019-01-02",13,"new","Toyota","Innova","2019","1","0","Petrol","Auto",878000000
"2019-01-02",2,"new","Hyundai","Tucson","2019","1","0",,"Auto",825000000
"2019-01-02",13,"used","Toyota","Yaris","2014","11","50000","Petrol","Auto",535000000
"2019-01-02",13,"used","Mercedes Benz","C Class","2011","19","90000","Petrol","Manual",665000000
"2019-01-02",13,"used","Toyota","Innova","2017","14","65000","Petrol","Manual",760000000
"2019-01-02",2,"used","Toyota","Innova","2016","4","18000","Petrol","Manual",680000000
"2019-01-02",13,"used","Chevrolet","Spark","2013","23","123456","Petrol","Manual",210000000
"2019-01-02",13,"used","Toyota","Camry","2015","11","50000","Petrol","Auto",1050000000
"2019-01-02",2,"used","Daewoo","Lacetti","2005","20","99999","Petrol","Manual",160000000
"2019-01-02",13,"new","Honda","CR V","2018","1","0","Petrol","Auto",1093000000
"2019-01-02",7,"used","Isuzu","Hi lander","2005","1","0","Diesel","Manual",265000000
"2019-01-02",13,"new","Ford","EcoSport","2018","1","0","Petrol","Auto",575000000
"2019-01-02",12,"used","Mercedes Benz","GLK Class","2015","13","60000","Petrol","Auto",1330000000
"2019-01-02",12,"used","Toyota","Corolla","2000","29","180000",,"Manual",108000000
"2019-01-02",13,"used","Ford","Ranger","2016","10","45000","Diesel","Auto",495000000
"2019-01-02",12,"used","Toyota","Vios","2017","5","20000","Petrol","Manual",500000000
"2019-01-02",13,"used","Mazda","CX 5","2018","1","5","Petrol","Auto",9000000
"2019-01-02",2,"used","Ford","Transit","2013","28","170000","Diesel","Manual",390000000
"2019-01-02",9,"used","Toyota","Corolla","1999","26","150000","Petrol","Manual",135000000
"2019-01-02",12,"new","Chevrolet","Cruze","2018","1","0","Petrol","Manual",525000000
"2019-01-02",3,"used","Ford","Ranger","2015","14","68000","Diesel","Manual",11000000
"2019-01-02",13,"used","Toyota","Fortuner","2010","24","130000","Diesel","Manual",640000000
"2019-01-02",13,"used","Honda","CR V","2015","16","77000","Petrol","Auto",870000000
"2019-01-02",13,"used","Hyundai","Grand i10","2017","4","15000","Petrol","Manual",385000000
"2019-01-02",1,"used","Hyundai","Tucson","2017","5","21000","Petrol","Auto",1225555000
"2019-01-02",1,"used","Toyota","Vios","2013","37","850000","Petrol","Manual",370000000
"2019-01-02",6,"used","Chevrolet","Lacetti","2012","10","45000","Petrol","Manual",235000000
"2019-01-02",12,"used","Honda","Civic","2010","1","50","Petrol","Auto",413000000
"2019-01-02",2,"used","Toyota","Innova","2016","12","59000","Petrol","Manual",597000000
"2019-01-02",12,"used","Toyota","Innova","2011","12","59000","Petrol","Manual",515000000
"2019-01-02",2,"used","Ford","Everest","2008","1","103",,"Auto",446000000
"2019-01-02",9,"used","Daewoo","Matiz","2004","31","200000","Petrol","Manual",73000000
"2019-01-02",13,"new","Ford","Ranger","2018","1","0","Diesel","Auto",1198000000
"2019-01-02",13,"new","Ford","EcoSport","2018","1","0","Petrol","Auto",666000000
"2019-01-02",13,"used","Ford","Everest","2007","1","2100","Diesel","Manual",355000000
"2019-01-02",13,"new","BMW","X1","2018","1","0","Petrol","Auto",1800000000
"2019-01-02",13,"used","Kia","Rio","2014","11","52000","Petrol","Auto",420000000
"2019-01-02",2,"used","Toyota","Corona","1994","23","120000",,"Manual",99000000
"2019-01-02",2,"used","Toyota","Fortuner","2011","37","500000","Petrol","Auto",700000000
"2019-01-02",13,"used","Kia","Carens","2015","11","53555","Petrol","Auto",465000000
"2019-01-02",9,"used","BMW","1 Series","2010","20","99000","Petrol","Auto",129000000
"2019-01-02",3,"new","Ford","Ranger","2018","1","0","Diesel","Both",1198000000
"2019-01-02",6,"new","Chevrolet","Cruze","2018","1","0","Petrol","Manual",539000000
"2019-01-02",12,"used","Toyota","Zace","2005","1","50","Petrol","Manual",265000000
"2019-01-02",12,"used","Hyundai","Tucson","2016","7","30000","Petrol","Auto",900000000
"2019-01-02",13,"used","Mercedes Benz","GLA Class","2015","9","42000","Petrol","Both",1500000000
"2019-01-02",13,"new","Honda","Jazz","2019","1","0","Petrol","Auto",544000000
